2021-12-06 00:55:51 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - pool-2-thread-12 released 4
2021-12-06 00:55:51 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - pool-2-thread-19 released 3
2021-12-06 00:55:51 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - pool-2-thread-10 released 2
2021-12-06 00:55:51 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - Truck 14 got terminal 1
2021-12-06 00:55:51 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - Truck 29 got terminal 5
2021-12-06 00:55:51 [pool-2-thread-5] INFO  by.epam.task5.entitty.Terminal - Truck 14 is being unloaded... +14
2021-12-06 00:55:51 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - Truck 15 got terminal 4
2021-12-06 00:55:51 [pool-2-thread-20] INFO  by.epam.task5.entitty.Terminal - Truck 29 is being unloaded... +40
2021-12-06 00:55:51 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 333
2021-12-06 00:55:51 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - Truck 16 got terminal 3
2021-12-06 00:55:51 [pool-2-thread-6] INFO  by.epam.task5.entitty.Terminal - Truck 15 is being unloaded... +15
2021-12-06 00:55:51 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 373
2021-12-06 00:55:51 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - Truck 24 got terminal 2
2021-12-06 00:55:51 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being unloaded... +7
2021-12-06 00:55:51 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 388
2021-12-06 00:55:51 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck 24 is being unloaded... +25
2021-12-06 00:55:51 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 395
2021-12-06 00:55:51 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 420
2021-12-06 00:55:51 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being loaded ... -15
2021-12-06 00:55:51 [pool-2-thread-5] INFO  by.epam.task5.entitty.Terminal - Truck 14 is being loaded ... -15
2021-12-06 00:55:51 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck 24 is being loaded ... -30
2021-12-06 00:55:51 [pool-2-thread-6] INFO  by.epam.task5.entitty.Terminal - Truck 15 is being loaded ... -15
