2021-12-06 00:54:39 [pool-2-thread-1] INFO  by.epam.task5.entitty.Base - pool-2-thread-1 released 1
2021-12-06 00:54:39 [pool-2-thread-11] INFO  by.epam.task5.entitty.TruckQueue - Truck 20 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - Truck 15 got terminal 1
2021-12-06 00:54:39 [pool-2-thread-11] INFO  by.epam.task5.entitty.TruckQueue - Truck 20 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-6] INFO  by.epam.task5.entitty.Terminal - Truck 15 is being unloaded... +15
2021-12-06 00:54:39 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 341
2021-12-06 00:54:39 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - pool-2-thread-2 released 2
2021-12-06 00:54:39 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - Truck 16 got terminal 2
2021-12-06 00:54:39 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being unloaded... +7
2021-12-06 00:54:39 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 348
2021-12-06 00:54:39 [pool-2-thread-12] INFO  by.epam.task5.entitty.TruckQueue - Truck 21 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-12] INFO  by.epam.task5.entitty.TruckQueue - Truck 21 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - pool-2-thread-3 released 3
2021-12-06 00:54:39 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - Truck 17 got terminal 3
2021-12-06 00:54:39 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck 17 is being unloaded... +20
2021-12-06 00:54:39 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 368
2021-12-06 00:54:39 [pool-2-thread-13] INFO  by.epam.task5.entitty.TruckQueue - Truck 22 with perishable goods was added to Queue
2021-12-06 00:54:39 [pool-2-thread-13] INFO  by.epam.task5.entitty.TruckQueue - Truck 22 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - pool-2-thread-4 released 4
2021-12-06 00:54:39 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - Truck 18 got terminal 4
2021-12-06 00:54:39 [pool-2-thread-14] INFO  by.epam.task5.entitty.TruckQueue - Truck 23 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-9] INFO  by.epam.task5.entitty.Terminal - Truck 18 is being unloaded... +18
2021-12-06 00:54:39 [pool-2-thread-14] INFO  by.epam.task5.entitty.TruckQueue - Truck 23 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 386
2021-12-06 00:54:39 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - pool-2-thread-5 released 5
2021-12-06 00:54:39 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - Truck 19 got terminal 5
2021-12-06 00:54:39 [pool-2-thread-10] INFO  by.epam.task5.entitty.Terminal - Truck 19 is being unloaded... +20
2021-12-06 00:54:39 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 406
2021-12-06 00:54:39 [pool-2-thread-15] INFO  by.epam.task5.entitty.TruckQueue - Truck 24 with perishable goods was added to Queue
2021-12-06 00:54:39 [pool-2-thread-15] INFO  by.epam.task5.entitty.TruckQueue - Truck 24 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-16] INFO  by.epam.task5.entitty.TruckQueue - Truck 25 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-16] INFO  by.epam.task5.entitty.TruckQueue - Truck 25 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-6] INFO  by.epam.task5.entitty.Terminal - Truck 15 is being loaded ... -15
2021-12-06 00:54:39 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 391
2021-12-06 00:54:39 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being loaded ... -15
2021-12-06 00:54:39 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 376
2021-12-06 00:54:39 [pool-2-thread-17] INFO  by.epam.task5.entitty.TruckQueue - Truck 26 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-17] INFO  by.epam.task5.entitty.TruckQueue - Truck 26 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck 17 is being loaded ... -20
2021-12-06 00:54:39 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 356
2021-12-06 00:54:39 [pool-2-thread-18] INFO  by.epam.task5.entitty.TruckQueue - Truck 27 with perishable goods was added to Queue
2021-12-06 00:54:39 [pool-2-thread-18] INFO  by.epam.task5.entitty.TruckQueue - Truck 27 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-9] INFO  by.epam.task5.entitty.Terminal - Truck 18 is being loaded ... -20
2021-12-06 00:54:39 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 336
2021-12-06 00:54:39 [pool-2-thread-19] INFO  by.epam.task5.entitty.TruckQueue - Truck 28 with perishable goods was added to Queue
2021-12-06 00:54:39 [pool-2-thread-19] INFO  by.epam.task5.entitty.TruckQueue - Truck 28 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-10] INFO  by.epam.task5.entitty.Terminal - Truck 19 is being loaded ... -20
2021-12-06 00:54:39 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 316
2021-12-06 00:54:39 [pool-2-thread-20] INFO  by.epam.task5.entitty.TruckQueue - Truck 29 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-20] INFO  by.epam.task5.entitty.TruckQueue - Truck 29 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-21] INFO  by.epam.task5.entitty.TruckQueue - Truck 30 was added to Queue
2021-12-06 00:54:39 [pool-2-thread-21] INFO  by.epam.task5.entitty.TruckQueue - Truck 30 is waiting for terminal...
2021-12-06 00:54:39 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - pool-2-thread-6 released 1
2021-12-06 00:54:39 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - Truck 20 got terminal 1
2021-12-06 00:54:39 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck 20 is being unloaded... +19
2021-12-06 00:54:39 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 335
2021-12-06 00:54:39 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - pool-2-thread-7 released 2
2021-12-06 00:54:39 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - Truck 21 got terminal 2
2021-12-06 00:54:39 [pool-2-thread-12] INFO  by.epam.task5.entitty.Terminal - Truck 21 is being unloaded... +20
2021-12-06 00:54:39 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 355
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #10 has been served by terminal #1. Truck isPerishable - false
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #11 has been served by terminal #2. Truck isPerishable - false
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #12 has been served by terminal #3. Truck isPerishable - true
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #13 has been served by terminal #4. Truck isPerishable - false
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #14 has been served by terminal #5. Truck isPerishable - false
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #15 has been served by terminal #1. Truck isPerishable - true
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #16 has been served by terminal #2. Truck isPerishable - false
2021-12-06 00:54:39 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - pool-2-thread-8 released 3
2021-12-06 00:54:39 [main] INFO  by.epam.task5.main.Main - Truck #17 has been served by terminal #3. Truck isPerishable - false
2021-12-06 00:54:39 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - Truck 22 got terminal 3
2021-12-06 00:54:39 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck 22 is being unloaded... +18
2021-12-06 00:54:39 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 373
2021-12-06 00:54:39 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - pool-2-thread-9 released 4
2021-12-06 00:54:39 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - Truck 23 got terminal 4
