2021-12-07 23:51:01 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 222
2021-12-07 23:51:01 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - pool-2-thread-16 released 4
2021-12-07 23:51:01 [pool-2-thread-19] INFO  by.epam.task5.entitty.Terminal - Truck 26 is being loaded ... -30
2021-12-07 23:51:01 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 192
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #28 has been served by terminal #1. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #27 has been served by terminal #2. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #24 has been served by terminal #3. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #22 has been served by terminal #4. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #18 has been served by terminal #5. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #15 has been served by terminal #6. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #12 has been served by terminal #1. Truck isPerishable - true
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #10 has been served by terminal #2. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #11 has been served by terminal #3. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #13 has been served by terminal #4. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #14 has been served by terminal #5. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #16 has been served by terminal #6. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #17 has been served by terminal #1. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #19 has been served by terminal #2. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #20 has been served by terminal #3. Truck isPerishable - false
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #21 has been served by terminal #4. Truck isPerishable - false
2021-12-07 23:51:01 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - pool-2-thread-17 released 5
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #23 has been served by terminal #5. Truck isPerishable - false
2021-12-07 23:51:01 [pool-2-thread-20] INFO  by.epam.task5.entitty.Terminal - Truck 29 is being loaded ... -40
2021-12-07 23:51:01 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 152
2021-12-07 23:51:01 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - pool-2-thread-18 released 6
2021-12-07 23:51:01 [main] INFO  by.epam.task5.main.Main - Truck #25 has been served by terminal #6. Truck isPerishable - false
2021-12-07 23:51:01 [pool-2-thread-21] INFO  by.epam.task5.entitty.Terminal - Truck 30 is being loaded ... -40
2021-12-07 23:51:01 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 112
2021-12-07 23:51:02 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - pool-2-thread-19 released 1
2021-12-07 23:51:02 [main] INFO  by.epam.task5.main.Main - Truck #26 has been served by terminal #1. Truck isPerishable - false
2021-12-07 23:51:02 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - pool-2-thread-20 released 2
2021-12-07 23:51:02 [main] INFO  by.epam.task5.main.Main - Truck #29 has been served by terminal #2. Truck isPerishable - false
2021-12-07 23:51:02 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - pool-2-thread-21 released 3
2021-12-07 23:51:02 [main] INFO  by.epam.task5.main.Main - Truck #30 has been served by terminal #3. Truck isPerishable - false
