2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 27 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 24 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 22 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 18 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 15 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 12 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 10 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 11 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 13 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 14 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 16 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 17 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 19 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 20 was taken from Queue
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 21 was taken from Queue
2021-12-03 00:20:56 [pool-2-thread-1] INFO  by.epam.task5.entitty.Base - 28 got terminal 1
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 23 was taken from Queue
2021-12-03 00:20:56 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - 24 got terminal 2
2021-12-03 00:20:56 [pool-2-thread-1] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 368
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 25 was taken from Queue
2021-12-03 00:20:56 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - 27 got terminal 3
2021-12-03 00:20:56 [pool-2-thread-1] INFO  by.epam.task5.entitty.Terminal - Truck #28 is being unloaded
2021-12-03 00:20:56 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 406
2021-12-03 00:20:56 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 431
2021-12-03 00:20:56 [pool-2-thread-2] INFO  by.epam.task5.entitty.Terminal - Truck #27 is being unloaded
2021-12-03 00:20:56 [pool-2-thread-3] INFO  by.epam.task5.entitty.Terminal - Truck #24 is being unloaded
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 26 was taken from Queue
2021-12-03 00:20:56 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - 22 got terminal 4
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 29 was taken from Queue
2021-12-03 00:20:56 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 449
2021-12-03 00:20:56 [pool-2-thread-4] INFO  by.epam.task5.entitty.Terminal - Truck #22 is being unloaded
2021-12-03 00:20:56 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - 18 got terminal 5
2021-12-03 00:20:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 30 was taken from Queue
2021-12-03 00:20:56 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 467
2021-12-03 00:20:56 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - 15 got terminal 6
