2021-12-03 01:35:10 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 341
2021-12-03 01:35:11 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck #10 is being loaded ... -10
2021-12-03 01:35:11 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 331
2021-12-03 01:35:11 [pool-2-thread-1] INFO  by.epam.task5.entitty.Base - 28 got terminal 2
2021-12-03 01:35:11 [pool-2-thread-1] INFO  by.epam.task5.entitty.Terminal - Truck #28 is being unloaded... +35
2021-12-03 01:35:11 [pool-2-thread-1] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 366
2021-12-03 01:35:11 [pool-2-thread-1] INFO  by.epam.task5.entitty.Terminal - Truck #28 is being loaded ... -40
2021-12-03 01:35:11 [pool-2-thread-1] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 326
2021-12-03 01:35:11 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - 27 got terminal 3
2021-12-03 01:35:11 [pool-2-thread-2] INFO  by.epam.task5.entitty.Terminal - Truck #27 is being unloaded... +38
2021-12-03 01:35:11 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 364
2021-12-03 01:35:12 [pool-2-thread-2] INFO  by.epam.task5.entitty.Terminal - Truck #27 is being loaded ... -40
2021-12-03 01:35:12 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 324
2021-12-03 01:35:12 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - 24 got terminal 4
2021-12-03 01:35:12 [pool-2-thread-3] INFO  by.epam.task5.entitty.Terminal - Truck #24 is being unloaded... +25
2021-12-03 01:35:12 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 349
2021-12-03 01:35:12 [pool-2-thread-3] INFO  by.epam.task5.entitty.Terminal - Truck #24 is being loaded ... -30
2021-12-03 01:35:12 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 319
2021-12-03 01:35:12 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - 22 got terminal 5
2021-12-03 01:35:12 [pool-2-thread-4] INFO  by.epam.task5.entitty.Terminal - Truck #22 is being unloaded... +18
2021-12-03 01:35:12 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 337
2021-12-03 01:35:13 [pool-2-thread-4] INFO  by.epam.task5.entitty.Terminal - Truck #22 is being loaded ... -20
2021-12-03 01:35:13 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 317
2021-12-03 01:35:13 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - 18 got terminal 6
2021-12-03 01:35:13 [pool-2-thread-5] INFO  by.epam.task5.entitty.Terminal - Truck #18 is being unloaded... +18
