2021-12-03 01:06:22 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 324
2021-12-03 01:06:22 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck #14 is being unloaded
2021-12-03 01:06:23 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 309
2021-12-03 01:06:23 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck #14 is being loaded. -15
2021-12-03 01:06:23 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - 12 got terminal 3
2021-12-03 01:06:23 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - pool-2-thread-14 released 9
2021-12-03 01:06:23 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 318
2021-12-03 01:06:23 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck #12 is being unloaded
2021-12-03 01:06:23 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 308
2021-12-03 01:06:23 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck #12 is being loaded. -10
2021-12-03 01:06:23 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - 17 got terminal 4
2021-12-03 01:06:23 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 328
2021-12-03 01:06:23 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck #17 is being unloaded
2021-12-03 01:06:24 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 308
2021-12-03 01:06:24 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck #17 is being loaded. -20
2021-12-03 01:06:24 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - 27 got terminal 5
2021-12-03 01:06:24 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 346
2021-12-03 01:06:24 [pool-2-thread-2] INFO  by.epam.task5.entitty.Terminal - Truck #27 is being unloaded
2021-12-03 01:06:24 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 306
2021-12-03 01:06:24 [pool-2-thread-2] INFO  by.epam.task5.entitty.Terminal - Truck #27 is being loaded. -40
2021-12-03 01:06:24 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - 10 got terminal 6
2021-12-03 01:06:24 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 314
2021-12-03 01:06:24 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck #10 is being unloaded
2021-12-03 01:06:25 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 304
2021-12-03 01:06:25 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck #10 is being loaded. -10
2021-12-03 01:06:25 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - 26 got terminal 7
2021-12-03 01:06:25 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 334
2021-12-03 01:06:25 [pool-2-thread-19] INFO  by.epam.task5.entitty.Terminal - Truck #26 is being unloaded
2021-12-03 01:06:25 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 304
2021-12-03 01:06:25 [pool-2-thread-19] INFO  by.epam.task5.entitty.Terminal - Truck #26 is being loaded. -30
2021-12-03 01:06:25 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - 24 got terminal 8
2021-12-03 01:06:25 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - pool-2-thread-15 released 10
2021-12-03 01:06:25 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - pool-2-thread-6 released 1
2021-12-03 01:06:25 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 329
2021-12-03 01:06:25 [pool-2-thread-3] INFO  by.epam.task5.entitty.Terminal - Truck #24 is being unloaded
2021-12-03 01:06:26 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 299
2021-12-03 01:06:26 [pool-2-thread-3] INFO  by.epam.task5.entitty.Terminal - Truck #24 is being loaded. -30
2021-12-03 01:06:26 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - 18 got terminal 9
2021-12-03 01:06:26 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 317
2021-12-03 01:06:26 [pool-2-thread-5] INFO  by.epam.task5.entitty.Terminal - Truck #18 is being unloaded
2021-12-03 01:06:26 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 297
