2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - pool-2-thread-10 released 10
2021-12-03 01:44:54 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 17 is waiting for terminal...
2021-12-03 01:44:54 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - Truck 17 got terminal 3
2021-12-03 01:44:54 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck 17 is being unloaded... +20
2021-12-03 01:44:54 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 337
2021-12-03 01:44:54 [pool-2-thread-12] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being loaded ... -15
2021-12-03 01:44:54 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 322
2021-12-03 01:44:54 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - pool-2-thread-11 released 1
2021-12-03 01:44:55 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 19 is waiting for terminal...
2021-12-03 01:44:55 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - Truck 19 got terminal 4
2021-12-03 01:44:55 [pool-2-thread-14] INFO  by.epam.task5.entitty.Terminal - Truck 19 is being unloaded... +20
2021-12-03 01:44:55 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 342
2021-12-03 01:44:55 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck 17 is being loaded ... -20
2021-12-03 01:44:55 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 322
2021-12-03 01:44:55 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - pool-2-thread-12 released 2
2021-12-03 01:44:55 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 20 is waiting for terminal...
2021-12-03 01:44:55 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - Truck 20 got terminal 5
2021-12-03 01:44:55 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck 20 is being unloaded... +19
2021-12-03 01:44:55 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 341
2021-12-03 01:44:55 [pool-2-thread-14] INFO  by.epam.task5.entitty.Terminal - Truck 19 is being loaded ... -20
2021-12-03 01:44:55 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 321
2021-12-03 01:44:55 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - pool-2-thread-13 released 3
2021-12-03 01:44:55 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 21 is waiting for terminal...
2021-12-03 01:44:55 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - Truck 21 got terminal 6
2021-12-03 01:44:55 [pool-2-thread-16] INFO  by.epam.task5.entitty.Terminal - Truck 21 is being unloaded... +20
2021-12-03 01:44:55 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 341
2021-12-03 01:44:55 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck 20 is being loaded ... -20
2021-12-03 01:44:55 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 321
2021-12-03 01:44:55 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - pool-2-thread-14 released 4
2021-12-03 01:44:55 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 23 is waiting for terminal...
2021-12-03 01:44:55 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - Truck 23 got terminal 7
2021-12-03 01:44:55 [pool-2-thread-17] INFO  by.epam.task5.entitty.Terminal - Truck 23 is being unloaded... +10
2021-12-03 01:44:55 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 331
2021-12-03 01:44:55 [pool-2-thread-16] INFO  by.epam.task5.entitty.Terminal - Truck 21 is being loaded ... -20
2021-12-03 01:44:55 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 311
2021-12-03 01:44:55 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - pool-2-thread-15 released 5
2021-12-03 01:44:56 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 25 is waiting for terminal...
2021-12-03 01:44:56 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - Truck 25 got terminal 8
2021-12-03 01:44:56 [pool-2-thread-18] INFO  by.epam.task5.entitty.Terminal - Truck 25 is being unloaded... +28
2021-12-03 01:44:56 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 339
